epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,534.547,1.37628,0.98954,1.37758,0.78324,0.78168,0.85491,0.48918,1.53155,1.02899,1.45247,0.0011882,0.0011882,0.0011882
43,547.143,1.43181,1.01447,1.39409,0.77722,0.74694,0.80521,0.44479,1.64168,1.14149,1.55391,0.0011684,0.0011684,0.0011684
44,559.909,1.3773,0.99879,1.35116,0.78348,0.78776,0.8435,0.47157,1.5506,1.08518,1.46773,0.0011486,0.0011486,0.0011486
45,572.608,1.35038,0.95862,1.34341,0.74437,0.76327,0.80836,0.45054,1.59655,1.09507,1.51839,0.0011288,0.0011288,0.0011288
46,585.392,1.35288,0.95668,1.35544,0.71438,0.77586,0.78335,0.44914,1.60824,1.20921,1.53004,0.001109,0.001109,0.001109
47,598.022,1.337,0.93585,1.34723,0.82799,0.72245,0.83981,0.50011,1.54333,1.02332,1.49947,0.0010892,0.0010892,0.0010892
48,611.097,1.35021,0.94396,1.33453,0.79894,0.72653,0.84856,0.4969,1.55486,0.99257,1.47752,0.0010694,0.0010694,0.0010694
49,623.806,1.33264,0.96379,1.33475,0.71957,0.70171,0.778,0.44149,1.6586,1.11059,1.55573,0.0010496,0.0010496,0.0010496
50,636.557,1.33733,0.94621,1.33511,0.75701,0.70612,0.81111,0.43519,1.68392,1.12744,1.53048,0.0010298,0.0010298,0.0010298
51,649.274,1.32257,0.9463,1.3246,0.82938,0.75398,0.84155,0.49459,1.49542,1.06829,1.4378,0.00101,0.00101,0.00101
52,661.922,1.34134,0.92324,1.33132,0.80793,0.78977,0.85548,0.50748,1.53648,0.91291,1.47244,0.0009902,0.0009902,0.0009902
53,675.019,1.36308,0.95278,1.33403,0.77845,0.74286,0.82076,0.45472,1.64291,1.07132,1.52265,0.0009704,0.0009704,0.0009704
54,687.717,1.30023,0.91857,1.31269,0.79931,0.77959,0.84642,0.49131,1.54023,0.98384,1.45647,0.0009506,0.0009506,0.0009506
55,700.432,1.29297,0.89415,1.2839,0.75768,0.76735,0.83385,0.48839,1.55777,0.96723,1.49388,0.0009308,0.0009308,0.0009308
56,713.085,1.30305,0.88311,1.30058,0.79323,0.79857,0.86623,0.51779,1.50703,0.92239,1.46182,0.000911,0.000911,0.000911
57,726.049,1.31375,0.90004,1.32632,0.84452,0.7316,0.85189,0.46964,1.58818,1.01544,1.51358,0.0008912,0.0008912,0.0008912
58,738.782,1.2988,0.9149,1.31619,0.80256,0.77978,0.86647,0.50977,1.53655,0.94583,1.47494,0.0008714,0.0008714,0.0008714
59,751.486,1.27499,0.90802,1.30284,0.74622,0.81633,0.84891,0.48368,1.61906,0.98063,1.544,0.0008516,0.0008516,0.0008516
60,764.389,1.27008,0.86572,1.28141,0.79054,0.80106,0.85898,0.50092,1.5445,0.96511,1.45247,0.0008318,0.0008318,0.0008318
61,777.118,1.30195,0.87201,1.30207,0.76479,0.81633,0.85345,0.48516,1.61688,0.92452,1.5517,0.000812,0.000812,0.000812
62,789.851,1.26071,0.86205,1.29757,0.82306,0.72653,0.83762,0.48286,1.59606,0.99919,1.51164,0.0007922,0.0007922,0.0007922
63,802.599,1.25591,0.86112,1.28392,0.78355,0.74286,0.8184,0.4739,1.57824,1.14403,1.4966,0.0007724,0.0007724,0.0007724
64,815.321,1.24603,0.85646,1.26845,0.77978,0.77551,0.84167,0.47561,1.65108,1.02386,1.59525,0.0007526,0.0007526,0.0007526
65,827.996,1.27366,0.83701,1.2959,0.75819,0.78066,0.81723,0.42668,1.8195,1.10275,1.70559,0.0007328,0.0007328,0.0007328
66,840.859,1.26218,0.85193,1.2782,0.83674,0.7551,0.85103,0.50522,1.58024,0.95777,1.51338,0.000713,0.000713,0.000713
67,853.534,1.22515,0.80106,1.26327,0.8025,0.81265,0.86744,0.50996,1.56848,0.91067,1.51911,0.0006932,0.0006932,0.0006932
68,866.241,1.23561,0.80605,1.26455,0.85087,0.77551,0.86504,0.52461,1.5668,0.96107,1.50652,0.0006734,0.0006734,0.0006734
69,879.221,1.22564,0.78186,1.26209,0.83019,0.79821,0.8902,0.52515,1.5011,0.88922,1.46827,0.0006536,0.0006536,0.0006536
70,892.239,1.21377,0.79595,1.2616,0.79997,0.76722,0.83772,0.47132,1.58399,0.98117,1.54459,0.0006338,0.0006338,0.0006338
71,904.964,1.18295,0.78668,1.24908,0.82909,0.77218,0.86526,0.49514,1.58949,0.94004,1.54413,0.000614,0.000614,0.000614
72,917.804,1.20771,0.79084,1.25965,0.86977,0.76735,0.87433,0.50441,1.56066,0.91496,1.52668,0.0005942,0.0005942,0.0005942
73,930.442,1.16763,0.7935,1.2376,0.80171,0.79211,0.84224,0.48078,1.56154,0.98653,1.54291,0.0005744,0.0005744,0.0005744
74,943.189,1.18197,0.77221,1.2494,0.88322,0.74089,0.8676,0.50557,1.56595,0.92595,1.53285,0.0005546,0.0005546,0.0005546
75,955.9,1.17641,0.78136,1.23525,0.84221,0.73061,0.84352,0.48365,1.59366,0.97711,1.55266,0.0005348,0.0005348,0.0005348
76,968.599,1.17473,0.76857,1.24006,0.77581,0.79098,0.8531,0.48493,1.60006,0.96197,1.53886,0.000515,0.000515,0.000515
77,981.412,1.17038,0.73319,1.24344,0.77995,0.8391,0.86777,0.51266,1.54717,0.89565,1.52719,0.0004952,0.0004952,0.0004952
78,994.121,1.16515,0.74755,1.22291,0.82837,0.75918,0.85798,0.50111,1.56998,0.93099,1.51036,0.0004754,0.0004754,0.0004754
79,1006.85,1.14711,0.74602,1.21776,0.80155,0.77959,0.8583,0.49017,1.6032,0.96356,1.55484,0.0004556,0.0004556,0.0004556
80,1019.59,1.09928,0.72114,1.20179,0.80045,0.78586,0.85576,0.49617,1.59605,0.9544,1.53609,0.0004358,0.0004358,0.0004358
81,1032.35,1.12894,0.71389,1.20852,0.78563,0.77959,0.84528,0.47901,1.60367,1.00074,1.56126,0.000416,0.000416,0.000416
