epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1651.38,1.29544,0.84779,1.25533,0.74002,0.69767,0.77473,0.46487,1.43244,1.07997,1.37594,0.0011882,0.0011882,0.0011882
43,1690.64,1.27459,0.81889,1.24622,0.72621,0.67442,0.74772,0.44579,1.46803,1.11231,1.40054,0.0011684,0.0011684,0.0011684
44,1730.12,1.25528,0.79772,1.22979,0.72237,0.67427,0.74065,0.429,1.50103,1.11255,1.43023,0.0011486,0.0011486,0.0011486
45,1769.5,1.27504,0.81198,1.24538,0.7435,0.63557,0.72851,0.42551,1.49737,1.17604,1.42382,0.0011288,0.0011288,0.0011288
46,1808.89,1.26621,0.80561,1.23294,0.7987,0.6591,0.78241,0.46743,1.44738,1.06253,1.395,0.001109,0.001109,0.001109
47,1848.25,1.24717,0.78633,1.22686,0.65711,0.6303,0.65252,0.37929,1.51131,1.28926,1.45372,0.0010892,0.0010892,0.0010892
48,1887.59,1.25308,0.80104,1.23016,0.79739,0.62126,0.72086,0.43169,1.46237,1.19589,1.424,0.0010694,0.0010694,0.0010694
49,1926.87,1.22662,0.77927,1.20526,0.77932,0.68048,0.74584,0.44432,1.47381,1.12525,1.44542,0.0010496,0.0010496,0.0010496
50,1966.37,1.21733,0.76352,1.20271,0.74196,0.63455,0.71818,0.43562,1.47013,1.14459,1.40479,0.0010298,0.0010298,0.0010298
51,2005.81,1.21086,0.7573,1.20728,0.77951,0.64784,0.70525,0.41582,1.60786,1.29382,1.53832,0.00101,0.00101,0.00101
52,2045.1,1.20612,0.76842,1.21025,0.76104,0.68773,0.77138,0.46242,1.47756,1.13234,1.44883,0.0009902,0.0009902,0.0009902
53,2084.33,1.21618,0.74607,1.21385,0.7974,0.64072,0.74643,0.43948,1.46685,1.16006,1.4143,0.0009704,0.0009704,0.0009704
54,2123.65,1.18213,0.72685,1.18932,0.71933,0.701,0.75206,0.44697,1.54085,1.17569,1.46763,0.0009506,0.0009506,0.0009506
55,2162.92,1.17479,0.7236,1.17728,0.74385,0.68771,0.74874,0.44824,1.48522,1.13103,1.40804,0.0009308,0.0009308,0.0009308
56,2202.6,1.16509,0.71049,1.18057,0.77696,0.65449,0.73861,0.43222,1.53633,1.13123,1.49672,0.000911,0.000911,0.000911
57,2241.99,1.15613,0.71191,1.17858,0.78482,0.64452,0.76689,0.4589,1.45136,1.03425,1.41013,0.0008912,0.0008912,0.0008912
58,2281.32,1.13817,0.69153,1.16544,0.70606,0.66777,0.7193,0.42059,1.53594,1.13018,1.49498,0.0008714,0.0008714,0.0008714
59,2320.49,1.13551,0.68901,1.16474,0.75879,0.66887,0.75035,0.43762,1.4887,1.06867,1.40375,0.0008516,0.0008516,0.0008516
60,2359.85,1.14075,0.6992,1.16066,0.82197,0.61794,0.74709,0.4552,1.44672,1.10248,1.40687,0.0008318,0.0008318,0.0008318
61,2399.19,1.11399,0.67161,1.15518,0.75354,0.69071,0.74618,0.45467,1.46883,1.12145,1.42996,0.000812,0.000812,0.000812
62,2438.55,1.14071,0.68061,1.16783,0.79758,0.65116,0.73951,0.44692,1.48417,1.12276,1.42638,0.0007922,0.0007922,0.0007922
63,2477.99,1.10065,0.66313,1.14725,0.70177,0.6645,0.71784,0.43476,1.53153,1.15751,1.49828,0.0007724,0.0007724,0.0007724
64,2517.29,1.09564,0.66297,1.14073,0.72895,0.66113,0.74176,0.43948,1.52121,1.08493,1.49598,0.0007526,0.0007526,0.0007526
65,2556.6,1.09468,0.65739,1.14394,0.81276,0.66113,0.7762,0.4573,1.50283,1.04588,1.47306,0.0007328,0.0007328,0.0007328
66,2595.96,1.09237,0.64647,1.1396,0.76149,0.69103,0.75793,0.46724,1.44779,1.08739,1.43204,0.000713,0.000713,0.000713
67,2635.27,1.07246,0.6362,1.13031,0.79122,0.64452,0.74019,0.44609,1.51169,1.07486,1.48165,0.0006932,0.0006932,0.0006932
68,2674.57,1.07237,0.63653,1.13579,0.78982,0.66445,0.75452,0.45396,1.47012,1.12192,1.44376,0.0006734,0.0006734,0.0006734
69,2713.89,1.04947,0.63774,1.11225,0.77716,0.61462,0.70676,0.43424,1.5132,1.1431,1.49805,0.0006536,0.0006536,0.0006536
70,2753.18,1.04877,0.62114,1.11307,0.78359,0.66777,0.75874,0.45008,1.47479,1.06813,1.43711,0.0006338,0.0006338,0.0006338
71,2792.42,1.04279,0.61304,1.11345,0.72022,0.63123,0.69694,0.41288,1.56374,1.10648,1.54631,0.000614,0.000614,0.000614
72,2831.86,1.03774,0.6025,1.12226,0.7967,0.66113,0.75072,0.4579,1.50463,1.08597,1.498,0.0005942,0.0005942,0.0005942
73,2871.1,1.02518,0.60766,1.10711,0.82961,0.66777,0.77745,0.47231,1.46484,1.05889,1.43877,0.0005744,0.0005744,0.0005744
74,2910.65,1.01897,0.59335,1.10338,0.82576,0.65116,0.74695,0.459,1.49264,1.10437,1.46464,0.0005546,0.0005546,0.0005546
75,2950.03,1.01881,0.59094,1.09629,0.80816,0.65449,0.75787,0.45541,1.50053,1.09612,1.46478,0.0005348,0.0005348,0.0005348
76,2989.49,1.00726,0.58344,1.08951,0.71814,0.67774,0.72868,0.44194,1.50267,1.15368,1.46644,0.000515,0.000515,0.000515
77,3028.86,0.98215,0.67984,1.07758,0.79678,0.63123,0.73226,0.43516,1.55587,1.12223,1.49584,0.0004952,0.0004952,0.0004952
78,3068.31,0.97558,0.56771,1.07864,0.76113,0.66693,0.73293,0.45137,1.5112,1.08813,1.46121,0.0004754,0.0004754,0.0004754
79,3107.7,0.98101,0.56247,1.07746,0.79136,0.63455,0.74311,0.44938,1.52936,1.13193,1.47702,0.0004556,0.0004556,0.0004556
80,3147.08,0.99241,0.5972,1.087,0.76061,0.68439,0.74925,0.44922,1.53254,1.06972,1.51322,0.0004358,0.0004358,0.0004358
81,3186.51,0.98001,0.60602,1.0765,0.7448,0.701,0.75862,0.45448,1.51559,1.05253,1.50301,0.000416,0.000416,0.000416
82,3225.75,0.96515,0.56023,1.07121,0.76538,0.65449,0.74071,0.43829,1.53371,1.13858,1.53289,0.0003962,0.0003962,0.0003962
83,3265.12,0.95616,0.55821,1.07426,0.73241,0.66113,0.73162,0.44366,1.48636,1.10866,1.47757,0.0003764,0.0003764,0.0003764
84,3304.42,0.9609,0.54985,1.07308,0.7522,0.66777,0.74957,0.44812,1.52701,1.11663,1.49792,0.0003566,0.0003566,0.0003566
85,3343.82,0.92529,0.52983,1.05532,0.79457,0.64452,0.74922,0.44532,1.50173,1.09035,1.48113,0.0003368,0.0003368,0.0003368
86,3383.04,0.93184,0.52956,1.05361,0.81695,0.65781,0.76722,0.46201,1.48177,1.07262,1.46956,0.000317,0.000317,0.000317
87,3422.42,0.93424,0.54091,1.05916,0.78612,0.62277,0.74439,0.45169,1.52549,1.11087,1.51299,0.0002972,0.0002972,0.0002972
88,3461.83,0.94481,0.53478,1.098,0.74749,0.67442,0.74751,0.4539,1.49701,1.07649,1.50457,0.0002774,0.0002774,0.0002774
89,3501.18,0.90527,0.52067,1.04249,0.7392,0.68439,0.73987,0.44432,1.53701,1.107,1.54044,0.0002576,0.0002576,0.0002576
90,3540.37,0.91283,0.52884,1.05301,0.76523,0.65781,0.74013,0.44776,1.5294,1.10669,1.5566,0.0002378,0.0002378,0.0002378
91,3582.52,0.90094,0.49422,1.02318,0.75698,0.62126,0.73128,0.44007,1.53055,1.14063,1.55432,0.000218,0.000218,0.000218
92,3621.68,0.84411,0.4341,0.9897,0.77391,0.60465,0.72684,0.43332,1.54977,1.14879,1.56117,0.0001982,0.0001982,0.0001982
93,3660.86,0.82127,0.42216,0.9811,0.76031,0.64452,0.75588,0.45764,1.50443,1.08307,1.53013,0.0001784,0.0001784,0.0001784
94,3699.89,0.81715,0.43225,0.98834,0.71313,0.68771,0.74474,0.45167,1.51429,1.12995,1.52266,0.0001586,0.0001586,0.0001586
95,3739.15,0.81104,0.4196,0.97646,0.78108,0.62458,0.73898,0.43485,1.55839,1.14482,1.5658,0.0001388,0.0001388,0.0001388
96,3778.37,0.78639,0.40615,0.97027,0.79859,0.61462,0.74209,0.45058,1.52884,1.13393,1.5562,0.000119,0.000119,0.000119
97,3817.56,0.78534,0.40484,0.97116,0.73301,0.65671,0.74092,0.44464,1.53762,1.19549,1.55391,9.92e-05,9.92e-05,9.92e-05
98,3857.17,0.77746,0.40965,0.96969,0.73267,0.66113,0.73458,0.43385,1.54741,1.19283,1.55443,7.94e-05,7.94e-05,7.94e-05
99,3896.28,0.7939,0.41322,0.9733,0.7908,0.62458,0.74324,0.44355,1.54587,1.15641,1.57558,5.96e-05,5.96e-05,5.96e-05
100,3935.7,0.77419,0.39702,0.96501,0.75907,0.64898,0.73835,0.44691,1.5449,1.16918,1.58233,3.98e-05,3.98e-05,3.98e-05
